word,category
quickdraw,compound
quickstart,compound
quippy,derivation
rabbithole,compound
ragdolled,derivation
ragequitting,compound
rando,clipping
randoms,derivation
randos,clipping
ransomware,compound
rapidfire,compound
readded,derivation
realigning,derivation
reallocating,derivation
recalibrating,derivation
recked,respelling
reclass,derivation
reclassed,derivation
reclassing,derivation
recomping,derivation
reconditioning,derivation
recyclers,derivation
redial,derivation
reentered,derivation
refi,clipping
reformulation,derivation
regressives,compound
rehosted,derivation
reincarnating,derivation
repacked,derivation
repacking,derivation
repeatably,derivation
repub,clipping
reraise,derivation
rerunning,derivation
resettling,derivation
resistible,derivation
respeck,respelling
respek,respelling
resubmit,derivation
retrofits,compound
retweeted,derivation
retweets,derivation
reupload,derivation
reuploaded,derivation
revite,derivation
rlly,clipping
rmv,clipping
rn,acronym
roguish,derivation
roomscale,compound
ropey,derivation
roughnecks,compound
royalists,derivation
rt,acronym
rump,slang
saaame,respelling
saddly,respelling
safespace,compound
safespot,compound
safezone,compound
sameee,respelling
sandbagging,compound
savage,slang
savagery,derivation
savescum,compound
savescumming,compound
scaleable,derivation
scanlations,compound
scannable,derivation
scapegoated,derivation
scaremongering,compound
scatterer,derivation
schizoid,clipping
schmeckles,slang
schmoozing,slang
scootaloo,slang
scoresheet,compound
scrams,slang
screencapping,compound
screentime,compound
scrounger,derivation
scumming,derivation
seaworthy,compound
secs,clipping
segmenting,derivation
sekrit,respelling
sexting,compound
shadiness,derivation
shadowboxing,compound
shakeup,compound
shambolic,slang
sharts,compound
shill,slang
shilled,derivation
shilling,derivation
shills,slang
shipper,derivation
shippers,derivation
shitbot,compound
shitfest,compound
shitlord,compound
shitlords,compound
shitpost,compound
shitposted,compound
shitposter,compound
shitposters,compound
shitposting,compound
shitposts,compound
shitsauce,compound
shitshow,compound
shitshows,compound
shortlisted,compound
shotgunner,derivation
shotgunners,derivation
shotted,derivation
shotting,derivation
shouldnt,respelling
shtick,slang
sideload,compound
sideloaded,compound
sideloading,compound
siiick,respelling
sinergy,respelling
skellies,clipping
skidrow,compound
slabbed,derivation
slog,slang
slurps,slang
smashy,derivation
smd,acronym
smdh,acronym
smh,acronym
smol,respelling
smth,clipping
smthing,clipping
snacky,derivation
snakey,respelling
snarking,derivation
snek,respelling
sneks,respelling
snoot,respelling
socketing,derivation
softban,compound
softies,derivation
softshell,compound
soldiered,derivation
soneone,respelling
soopers,respelling
sorc,clipping
soundbyte,respelling
soundbytes,respelling
soundcards,compound
spammer,derivation
spawner,derivation
spawners,derivation
spergs,clipping
spiciest,slang
spinned,respelling
squaddie,derivation
squanch,slang
srpgs,acronym
staffy,derivation
stanning,compound
stap,respelling
stat,slang
stationing,derivation
statted,derivation
stickered,derivation
stickied,derivation
stickying,derivation
stim,clipping
stimmed,clipping
stonewalled,compound
stonewalling,compound
streamables,derivation
stunlocked,compound
stunners,derivation
sublets,clipping
subpixel,derivation
subtheme,derivation
succ,respelling
suicider,derivation
suiciders,derivation
summonable,derivation
superhot,compound
superlist,compound
superstate,compound
superthread,compound
supps,clipping
supress,respelling
supression,respelling
swifties,slang
swingy,derivation
synth,clipping
systemless,derivation
sysupdater,compound
tankie,derivation
tankier,derivation
tankies,derivation
tarrifs,respelling
tbf,acronym
tbh,acronym
tbis,acronym
tbqh,acronym
tbt,acronym
teamkills,compound
telegrams,slang
tesseracts,slang
theocrat,derivation
tho,clipping
thoe,clipping
thrifted,derivation
thta,respelling
theyd,respelling
theyll,respelling
theyre,respelling
theyve,respelling
thumper,derivation
thumpers,derivation
tiddies,respelling
tiering,derivation
tierlist,derivation
tldw,acronym
tmw,clipping
toot,onomatopoeia
tooty,onomatopoeia
tradies,clipping
trama,respelling
transness,derivation
trappy,derivation
trashing,derivation
triggered,derivation
tropey,derivation
trouncing,slang
trynna,compound
tweet,slang
twink,slang
twinking,derivation
twinks,slang
twinky,derivation
twinned,derivation
udf,acronym
ultrawide,compound
unbias,derivation
uncharismatic,derivation
uncloak,derivation
unconsoled,derivation
uncrackable,derivation
uncured,derivation
underachieved,derivation
undercosted,derivation
undereyes,derivation
underlay,derivation
underoos,slang
underperforming,derivation
underplaying,derivation
unduped,clipping
unfavorability,derivation
unfavored,derivation
unflappable,derivation
unfuck,derivation
unfuckable,derivation
unfucked,derivation
unhackable,derivation
unisex,compound
unkillable,derivation
unlistenable,derivation
unmastered,derivation
unmissable,derivation
unpromoted,derivation
unstickied,derivation
unsticky,derivation
unsubstantial,derivation
untagged,derivation
untangled,derivation
untended,derivation
untimed,derivation
untruth,derivation
unupgraded,derivation
unviable,derivation
unwatchable,derivation
unwearable,derivation
updrafts,derivation
upheavals,derivation
uppers,clipping
userprofile,compound
veterancy,derivation
vetted,slang
vetting,slang
vibing,derivation
vid,clipping
vids,clipping
viewbots,compound
viewbotting,compound
viz,clipping
vlog,compound
vlogging,compound
vlogs,compound
voluntarism,derivation
volunteerism,derivation
waddup,compound
waffled,derivation
walkies,clipping
wapo,clipping
weaponised,derivation
webcast,compound
weeb,clipping
weebs,clipping
wehraboo,respelling
wehraboos,respelling
wewlad,compound
wfh,acronym
whaddup,compound
whap,onomatopoeia
whelmed,derivation
whitesplaining,compound
whitout,respelling
wht,respelling
winglets,derivation
woild,respelling
wonk,slang
wonks,slang
worlders,derivation
wouldnt,respelling
wowie,slang
wowow,slang
wth,acronym
wubs,onomatopoeia
wutface,compound
wuz,respelling
xans,clipping
xenophile,slang
xenophobes,slang
xenophobe,slang
xers,derivation
xps,acronym
yaas,respelling
yas,respelling
yasss,respelling
yday,clipping
yknow,clipping
yolos,respelling
youtubers,derivation
yt,acronym
yuge,respelling
yuuuge,respelling
zoomies,slang
zuck,clipping
