word,category
polarising,R
powah,R
powerfull,R
preety,R
prioritise,R
prioritised,R
prioritises,R
prioritising,R
probabaly,R
propably,R
publically,R
puush,R
quiting,R
realises,R
realz,R
recognising,R
rek,R
rekd,R
rekt,R
reseting,R
respekt,R
ridicilous,R
rlly,R
rly,R
rood,R
rulez,R
saaame,R
sceptical,R
scurred,R
sexxy,R
shanties,R
sheit,R
shieeet,R
shiiieeet,R
shite,R
shouldnt,R
shouldve,R
skillfull,R
sliiightly,R
sloot,R
sloots,R
snax,R
snoot,R
sonuvabitch,R
sooper,R
specificaly,R
speshul,R
spoooky,R
srry,R
staaahp,R
stabilisation,R
stabilised,R
stronk,R
succ,R
succes,R
succesfully,R
supa,R
suuuper,R
sympathiser,R
sympathisers,R
synchronise,R
synergise,R
synergises,R
teamate,R
teamates,R
thaaanks,R
thaks,R
thanksss,R
thanx,R
themselfes,R
theorised,R
therfore,R
theyd,R
theyll,R
theyre,R
theyve,R
thnx,R
tho,R
thooo,R
throughly,R
traumatised,R
treshold,R
troof,R
tru,R
trueee,R
truscum,R
truuu,R
turnt,R
underated,R
urs,R
urself,R
useable,R
usefull,R
utilising,R
vapour,R
veeery,R
vidya,R
visualisation,R
waaagh,R
waifu,R
waifus,R
wayyy,R
werent,R
werk,R
wld,R
woohooo,R
wooow,R
wot,R
wouldve,R
wymyn,R
yeaah,R
yepp,R
yerself,R
yey,R
yuo,R
yuor,R
yup,R
yusss,R
rekts,R/D
brojob,R/K
fockin,R/K
fookin,R/K
fukin,R/K
fukken,R/K
fukn,R/K
kawaiii,R/S
bellends,V
booty,V
butt,V
cmon,V
cuckold,V
cuckolds,V
dang,V
dingus,V
doofus,V
dweeb,V
dweebs,V
frick,V
fucked,V
jabroni,V
jabronis,V
jaysus,V
kek,V
mong,V
mook,V
mookie,V
ok,V
okay,V
schlongs,V
twerp,V
uwu,V
xdd,V
shitted,V/D
shitter,V/D
shitters,V/D
shittest,V/D
shittier,V/D
shitting,V/D
twerps,V/D
